index,date,open,high,low,close,volume
0,"2021/03/04, 23:00:00",49639.99,49720.0,49332.01,49517.17,2059.637999999894
1,"2021/03/04, 23:15:00",49517.16,49747.05,49500.08,49665.07,1900.5389999999195
2,"2021/03/04, 23:30:00",49665.06,50636.77,49533.0,49868.28,11554.852000002888
3,"2021/03/04, 23:45:00",49870.84,50069.99,49214.14,49431.48,8783.65000000138
4,"2021/03/05, 00:00:00",49432.43,49499.0,49015.16,49172.38,6533.958000000751
5,"2021/03/05, 00:15:00",49178.87,49364.19,48835.39,49314.73,6008.4840000006125
6,"2021/03/05, 00:30:00",49314.74,49587.0,49236.57,49494.57,4545.459000000284
7,"2021/03/05, 00:45:00",49494.56,49850.0,49350.0,49438.63,5464.493000000565
8,"2021/03/05, 01:00:00",49438.64,49710.61,49320.67,49543.98,3987.2300000002606
9,"2021/03/05, 01:15:00",49539.97,49955.0,49420.53,49793.4,4063.693000000177
10,"2021/03/05, 01:30:00",49793.18,50070.83,49630.09,49760.12,3624.787000000104
11,"2021/03/05, 01:45:00",49760.11,49989.71,49643.66,49723.33,2501.3509999999796
12,"2021/03/05, 02:00:00",49723.33,49925.0,49140.3,49324.89,4990.728000000416
13,"2021/03/05, 02:15:00",49324.89,49971.08,49261.01,49427.11,7037.454000000926
14,"2021/03/05, 02:30:00",49427.12,49478.12,49015.0,49253.26,5273.439000000361
15,"2021/03/05, 02:45:00",49253.26,49257.0,48332.43,48541.69,10592.510000002758
16,"2021/03/05, 03:00:00",48541.69,48660.0,48150.0,48210.76,6852.945000001101
17,"2021/03/05, 03:15:00",48210.77,48470.0,48110.0,48450.43,4797.833000000415
18,"2021/03/05, 03:30:00",48450.44,48480.0,48154.1,48159.44,3367.3970000001245
19,"2021/03/05, 03:45:00",48166.25,48243.99,47600.0,47623.82,8953.205000001586
20,"2021/03/05, 04:00:00",47617.22,48325.88,47607.07,48271.68,5441.249000000488
21,"2021/03/05, 04:15:00",48271.68,48364.52,48076.13,48143.64,3033.605999999995
22,"2021/03/05, 04:30:00",48145.76,48270.0,47900.0,48260.24,3359.90300000007
23,"2021/03/05, 04:45:00",48260.24,48408.38,47977.41,48019.76,3374.966000000067
24,"2021/03/05, 05:00:00",48019.76,48049.99,47500.0,47809.64,6775.84400000069
